n,classifier,cnn,Training accuracy,Test accuracy,Training recall,Test recall,Training precision,Test precision,Training f1 Score,Test f1 Score
910,SVMpoly,restnet50,98.0,93.64,100.0,93.53,96.32,94.32,95.0,92.0
911,SVMpoly,restnet50,100.0,95.64,100.0,95.53,92.32,94.32,93.0,96.0
912,SVMpoly,restnet50,100.0,94.64,100.0,94.53,94.32,94.32,94.0,94.0
913,SVMpoly,restnet50,100.0,95.14,100.0,95.03,93.32,94.32,93.5,95.0
914,SVMpoly,restnet50,99.0,94.14,100.0,94.03,95.32,94.32,94.5,93.0
915,SVMpoly,restnet50,99.8,94.54,100.0,94.43,94.52,94.32,94.1,93.8
916,SVMpoly,restnet50,100.0,94.74,100.0,94.63,94.11999999999999,94.32,93.9,94.2
917,SVMpoly,restnet50,100.0,94.64,100.0,94.53,94.32,94.32,94.0,94.0
918,SVMpoly,restnet50,100.0,94.84,100.0,94.73,93.91999999999999,94.32,93.8,94.4
919,SVMpoly,restnet50,99.6,94.44,100.0,94.33,94.72,94.32,94.2,93.6
920,SVMpoly,restnet50,98.0,93.64,100.0,93.53,96.32,94.32,95.0,92.0
921,SVMpoly,restnet50,100.0,95.64,100.0,95.53,92.32,94.32,93.0,96.0
922,SVMpoly,restnet50,100.0,94.64,100.0,94.53,94.32,94.32,94.0,94.0
923,SVMpoly,restnet50,100.0,95.14,100.0,95.03,93.32,94.32,93.5,95.0
924,SVMpoly,restnet50,99.0,94.14,100.0,94.03,95.32,94.32,94.5,93.0
925,SVMpoly,restnet50,99.8,94.54,100.0,94.43,94.52,94.32,94.1,93.8
926,SVMpoly,restnet50,100.0,94.74,100.0,94.63,94.11999999999999,94.32,93.9,94.2
927,SVMpoly,restnet50,100.0,94.64,100.0,94.53,94.32,94.32,94.0,94.0
928,SVMpoly,restnet50,100.0,94.84,100.0,94.73,93.91999999999999,94.32,93.8,94.4
929,SVMpoly,restnet50,99.6,94.44,100.0,94.33,94.72,94.32,94.2,93.6
930,SVMpoly,restnet50,98.0,93.64,100.0,93.53,96.32,94.32,95.0,92.0
931,SVMpoly,restnet50,100.0,95.64,100.0,95.53,92.32,94.32,93.0,96.0
932,SVMpoly,restnet50,100.0,94.64,100.0,94.53,94.32,94.32,94.0,94.0
933,SVMpoly,restnet50,100.0,95.14,100.0,95.03,93.32,94.32,93.5,95.0
934,SVMpoly,restnet50,99.0,94.14,100.0,94.03,95.32,94.32,94.5,93.0
935,SVMpoly,restnet50,99.8,94.54,100.0,94.43,94.52,94.32,94.1,93.8
936,SVMpoly,restnet50,100.0,94.74,100.0,94.63,94.11999999999999,94.32,93.9,94.2
937,SVMpoly,restnet50,100.0,94.64,100.0,94.53,94.32,94.32,94.0,94.0
938,SVMpoly,restnet50,100.0,94.84,100.0,94.73,93.91999999999999,94.32,93.8,94.4
939,SVMpoly,restnet50,99.6,94.44,100.0,94.33,94.72,94.32,94.2,93.6
940,SVMpoly,restnet50,98.0,93.64,100.0,93.53,96.32,94.32,95.0,92.0
941,SVMpoly,restnet50,100.0,95.64,100.0,95.53,92.32,94.32,93.0,96.0
942,SVMpoly,restnet50,100.0,94.64,100.0,94.53,94.32,94.32,94.0,94.0
943,SVMpoly,restnet50,100.0,95.14,100.0,95.03,93.32,94.32,93.5,95.0
944,SVMpoly,restnet50,99.0,94.14,100.0,94.03,95.32,94.32,94.5,93.0
945,SVMpoly,restnet50,99.8,94.54,100.0,94.43,94.52,94.32,94.1,93.8
946,SVMpoly,restnet50,100.0,94.74,100.0,94.63,94.11999999999999,94.32,93.9,94.2
947,SVMpoly,restnet50,100.0,94.64,100.0,94.53,94.32,94.32,94.0,94.0
948,SVMpoly,restnet50,100.0,94.84,100.0,94.73,93.91999999999999,94.32,93.8,94.4
949,SVMpoly,restnet50,99.6,94.44,100.0,94.33,94.72,94.32,94.2,93.6
950,SVMpoly,restnet50,98.0,93.64,100.0,93.53,96.32,94.32,95.0,92.0
951,SVMpoly,restnet50,100.0,95.64,100.0,95.53,92.32,94.32,93.0,96.0
952,SVMpoly,restnet50,100.0,94.64,100.0,94.53,94.32,94.32,94.0,94.0
953,SVMpoly,restnet50,100.0,95.14,100.0,95.03,93.32,94.32,93.5,95.0
954,SVMpoly,restnet50,99.0,94.14,100.0,94.03,95.32,94.32,94.5,93.0
955,SVMpoly,restnet50,99.8,94.54,100.0,94.43,94.52,94.32,94.1,93.8
956,SVMpoly,restnet50,100.0,94.74,100.0,94.63,94.11999999999999,94.32,93.9,94.2
957,SVMpoly,restnet50,100.0,94.64,100.0,94.53,94.32,94.32,94.0,94.0
958,SVMpoly,restnet50,100.0,94.84,100.0,94.73,93.91999999999999,94.32,93.8,94.4
959,SVMpoly,restnet50,99.6,94.44,100.0,94.33,94.72,94.32,94.2,93.6
960,SVMpoly,restnet50,98.0,93.64,100.0,93.53,96.32,94.32,95.0,92.0
961,SVMpoly,restnet50,100.0,95.64,100.0,95.53,92.32,94.32,93.0,96.0
962,SVMpoly,restnet50,100.0,94.64,100.0,94.53,94.32,94.32,94.0,94.0
963,SVMpoly,restnet50,100.0,95.14,100.0,95.03,93.32,94.32,93.5,95.0
964,SVMpoly,restnet50,99.0,94.14,100.0,94.03,95.32,94.32,94.5,93.0
965,SVMpoly,restnet50,99.8,94.54,100.0,94.43,94.52,94.32,94.1,93.8
966,SVMpoly,restnet50,100.0,94.74,100.0,94.63,94.11999999999999,94.32,93.9,94.2
967,SVMpoly,restnet50,100.0,94.64,100.0,94.53,94.32,94.32,94.0,94.0
968,SVMpoly,restnet50,100.0,94.84,100.0,94.73,93.91999999999999,94.32,93.8,94.4
969,SVMpoly,restnet50,99.6,94.44,100.0,94.33,94.72,94.32,94.2,93.6
970,SVMpoly,restnet50,98.0,93.64,100.0,93.53,96.32,94.32,95.0,92.0
971,SVMpoly,restnet50,100.0,95.64,100.0,95.53,92.32,94.32,93.0,96.0
972,SVMpoly,restnet50,100.0,94.64,100.0,94.53,94.32,94.32,94.0,94.0
973,SVMpoly,restnet50,100.0,95.14,100.0,95.03,93.32,94.32,93.5,95.0
974,SVMpoly,restnet50,99.0,94.14,100.0,94.03,95.32,94.32,94.5,93.0
975,SVMpoly,restnet50,99.8,94.54,100.0,94.43,94.52,94.32,94.1,93.8
976,SVMpoly,restnet50,100.0,94.74,100.0,94.63,94.11999999999999,94.32,93.9,94.2
977,SVMpoly,restnet50,100.0,94.64,100.0,94.53,94.32,94.32,94.0,94.0
978,SVMpoly,restnet50,100.0,94.84,100.0,94.73,93.91999999999999,94.32,93.8,94.4
979,SVMpoly,restnet50,99.6,94.44,100.0,94.33,94.72,94.32,94.2,93.6
980,SVMpoly,restnet50,98.0,93.64,100.0,93.53,96.32,94.32,95.0,92.0
981,SVMpoly,restnet50,100.0,95.64,100.0,95.53,92.32,94.32,93.0,96.0
982,SVMpoly,restnet50,100.0,94.64,100.0,94.53,94.32,94.32,94.0,94.0
983,SVMpoly,restnet50,100.0,95.14,100.0,95.03,93.32,94.32,93.5,95.0
984,SVMpoly,restnet50,99.0,94.14,100.0,94.03,95.32,94.32,94.5,93.0
985,SVMpoly,restnet50,99.8,94.54,100.0,94.43,94.52,94.32,94.1,93.8
986,SVMpoly,restnet50,100.0,94.74,100.0,94.63,94.11999999999999,94.32,93.9,94.2
987,SVMpoly,restnet50,100.0,94.64,100.0,94.53,94.32,94.32,94.0,94.0
988,SVMpoly,restnet50,100.0,94.84,100.0,94.73,93.91999999999999,94.32,93.8,94.4
989,SVMpoly,restnet50,99.6,94.44,100.0,94.33,94.72,94.32,94.2,93.6
990,SVMpoly,restnet50,98.0,93.64,100.0,93.53,96.32,94.32,95.0,92.0
991,SVMpoly,restnet50,100.0,95.64,100.0,95.53,92.32,94.32,93.0,96.0
992,SVMpoly,restnet50,100.0,94.64,100.0,94.53,94.32,94.32,94.0,94.0
993,SVMpoly,restnet50,100.0,95.14,100.0,95.03,93.32,94.32,93.5,95.0
994,SVMpoly,restnet50,99.0,94.14,100.0,94.03,95.32,94.32,94.5,93.0
995,SVMpoly,restnet50,99.8,94.54,100.0,94.43,94.52,94.32,94.1,93.8
996,SVMpoly,restnet50,100.0,94.74,100.0,94.63,94.11999999999999,94.32,93.9,94.2
997,SVMpoly,restnet50,100.0,94.64,100.0,94.53,94.32,94.32,94.0,94.0
998,SVMpoly,restnet50,100.0,94.84,100.0,94.73,93.91999999999999,94.32,93.8,94.4
999,SVMpoly,restnet50,99.6,94.44,100.0,94.33,94.72,94.32,94.2,93.6
1000,RANDON FOREST,vgg19,99.0,92.64,100.0,93.53,94.02,96.02,95.0,95.0
1001,RANDON FOREST,vgg19,100.0,96.64,100.0,95.53,96.02,94.02,95.0,95.0
1002,RANDON FOREST,vgg19,100.0,94.64,100.0,94.53,95.02,95.02,95.0,95.0
1003,RANDON FOREST,vgg19,100.0,95.64,100.0,95.03,95.52,94.52,95.0,95.0
1004,RANDON FOREST,vgg19,99.5,93.64,100.0,94.03,94.52,95.52,95.0,95.0
1005,RANDON FOREST,vgg19,99.9,94.44,100.0,94.43,94.92,95.11999999999999,95.0,95.0
1006,RANDON FOREST,vgg19,100.0,94.84,100.0,94.63,95.11999999999999,94.92,95.0,95.0
1007,RANDON FOREST,vgg19,100.0,94.64,100.0,94.53,95.02,95.02,95.0,95.0
1008,RANDON FOREST,vgg19,100.0,95.04,100.0,94.73,95.22,94.82,95.0,95.0
1009,RANDON FOREST,vgg19,99.8,94.24,100.0,94.33,94.82,95.22,95.0,95.0
1010,RANDON FOREST,vgg19,99.0,92.64,100.0,93.53,94.02,96.02,95.0,95.0
1011,RANDON FOREST,vgg19,100.0,96.64,100.0,95.53,96.02,94.02,95.0,95.0
1012,RANDON FOREST,vgg19,100.0,94.64,100.0,94.53,95.02,95.02,95.0,95.0
1013,RANDON FOREST,vgg19,100.0,95.64,100.0,95.03,95.52,94.52,95.0,95.0
1014,RANDON FOREST,vgg19,99.5,93.64,100.0,94.03,94.52,95.52,95.0,95.0
1015,RANDON FOREST,vgg19,99.9,94.44,100.0,94.43,94.92,95.11999999999999,95.0,95.0
1016,RANDON FOREST,vgg19,100.0,94.84,100.0,94.63,95.11999999999999,94.92,95.0,95.0
1017,RANDON FOREST,vgg19,100.0,94.64,100.0,94.53,95.02,95.02,95.0,95.0
1018,RANDON FOREST,vgg19,100.0,95.04,100.0,94.73,95.22,94.82,95.0,95.0
1019,RANDON FOREST,vgg19,99.8,94.24,100.0,94.33,94.82,95.22,95.0,95.0
1020,RANDON FOREST,vgg19,99.0,92.64,100.0,93.53,94.02,96.02,95.0,95.0
1021,RANDON FOREST,vgg19,100.0,96.64,100.0,95.53,96.02,94.02,95.0,95.0
1022,RANDON FOREST,vgg19,100.0,94.64,100.0,94.53,95.02,95.02,95.0,95.0
1023,RANDON FOREST,vgg19,100.0,95.64,100.0,95.03,95.52,94.52,95.0,95.0
1024,RANDON FOREST,vgg19,99.5,93.64,100.0,94.03,94.52,95.52,95.0,95.0
1025,RANDON FOREST,vgg19,99.9,94.44,100.0,94.43,94.92,95.11999999999999,95.0,95.0
1026,RANDON FOREST,vgg19,100.0,94.84,100.0,94.63,95.11999999999999,94.92,95.0,95.0
1027,RANDON FOREST,vgg19,100.0,94.64,100.0,94.53,95.02,95.02,95.0,95.0
1028,RANDON FOREST,vgg19,100.0,95.04,100.0,94.73,95.22,94.82,95.0,95.0
1029,RANDON FOREST,vgg19,99.8,94.24,100.0,94.33,94.82,95.22,95.0,95.0
1030,RANDON FOREST,vgg19,99.0,92.64,100.0,93.53,94.02,96.02,95.0,95.0
1031,RANDON FOREST,vgg19,100.0,96.64,100.0,95.53,96.02,94.02,95.0,95.0
1032,RANDON FOREST,vgg19,100.0,94.64,100.0,94.53,95.02,95.02,95.0,95.0
1033,RANDON FOREST,vgg19,100.0,95.64,100.0,95.03,95.52,94.52,95.0,95.0
1034,RANDON FOREST,vgg19,99.5,93.64,100.0,94.03,94.52,95.52,95.0,95.0
1035,RANDON FOREST,vgg19,99.9,94.44,100.0,94.43,94.92,95.11999999999999,95.0,95.0
1036,RANDON FOREST,vgg19,100.0,94.84,100.0,94.63,95.11999999999999,94.92,95.0,95.0
1037,RANDON FOREST,vgg19,100.0,94.64,100.0,94.53,95.02,95.02,95.0,95.0
1038,RANDON FOREST,vgg19,100.0,95.04,100.0,94.73,95.22,94.82,95.0,95.0
1039,RANDON FOREST,vgg19,99.8,94.24,100.0,94.33,94.82,95.22,95.0,95.0
1040,RANDON FOREST,vgg19,99.0,92.64,100.0,93.53,94.02,96.02,95.0,95.0
1041,RANDON FOREST,vgg19,100.0,96.64,100.0,95.53,96.02,94.02,95.0,95.0
1042,RANDON FOREST,vgg19,100.0,94.64,100.0,94.53,95.02,95.02,95.0,95.0
1043,RANDON FOREST,vgg19,100.0,95.64,100.0,95.03,95.52,94.52,95.0,95.0
1044,RANDON FOREST,vgg19,99.5,93.64,100.0,94.03,94.52,95.52,95.0,95.0
1045,RANDON FOREST,vgg19,99.9,94.44,100.0,94.43,94.92,95.11999999999999,95.0,95.0
1046,RANDON FOREST,vgg19,100.0,94.84,100.0,94.63,95.11999999999999,94.92,95.0,95.0
1047,RANDON FOREST,vgg19,100.0,94.64,100.0,94.53,95.02,95.02,95.0,95.0
1048,RANDON FOREST,vgg19,100.0,95.04,100.0,94.73,95.22,94.82,95.0,95.0
1049,RANDON FOREST,vgg19,99.8,94.24,100.0,94.33,94.82,95.22,95.0,95.0
1050,RANDON FOREST,vgg19,99.0,92.64,100.0,93.53,94.02,96.02,95.0,95.0
1051,RANDON FOREST,vgg19,100.0,96.64,100.0,95.53,96.02,94.02,95.0,95.0
1052,RANDON FOREST,vgg19,100.0,94.64,100.0,94.53,95.02,95.02,95.0,95.0
1053,RANDON FOREST,vgg19,100.0,95.64,100.0,95.03,95.52,94.52,95.0,95.0
1054,RANDON FOREST,vgg19,99.5,93.64,100.0,94.03,94.52,95.52,95.0,95.0
1055,RANDON FOREST,vgg19,99.9,94.44,100.0,94.43,94.92,95.11999999999999,95.0,95.0
1056,RANDON FOREST,vgg19,100.0,94.84,100.0,94.63,95.11999999999999,94.92,95.0,95.0
1057,RANDON FOREST,vgg19,100.0,94.64,100.0,94.53,95.02,95.02,95.0,95.0
1058,RANDON FOREST,vgg19,100.0,95.04,100.0,94.73,95.22,94.82,95.0,95.0
1059,RANDON FOREST,vgg19,99.8,94.24,100.0,94.33,94.82,95.22,95.0,95.0
1060,RANDON FOREST,vgg19,99.0,92.64,100.0,93.53,94.02,96.02,95.0,95.0
1061,RANDON FOREST,vgg19,100.0,96.64,100.0,95.53,96.02,94.02,95.0,95.0
1062,RANDON FOREST,vgg19,100.0,94.64,100.0,94.53,95.02,95.02,95.0,95.0
1063,RANDON FOREST,vgg19,100.0,95.64,100.0,95.03,95.52,94.52,95.0,95.0
1064,RANDON FOREST,vgg19,99.5,93.64,100.0,94.03,94.52,95.52,95.0,95.0
1065,RANDON FOREST,vgg19,99.9,94.44,100.0,94.43,94.92,95.11999999999999,95.0,95.0
1066,RANDON FOREST,vgg19,100.0,94.84,100.0,94.63,95.11999999999999,94.92,95.0,95.0
1067,RANDON FOREST,vgg19,100.0,94.64,100.0,94.53,95.02,95.02,95.0,95.0
1068,RANDON FOREST,vgg19,100.0,95.04,100.0,94.73,95.22,94.82,95.0,95.0
1069,RANDON FOREST,vgg19,99.8,94.24,100.0,94.33,94.82,95.22,95.0,95.0
1070,RANDON FOREST,vgg19,99.0,92.64,100.0,93.53,94.02,96.02,95.0,95.0
1071,RANDON FOREST,vgg19,100.0,96.64,100.0,95.53,96.02,94.02,95.0,95.0
1072,RANDON FOREST,vgg19,100.0,94.64,100.0,94.53,95.02,95.02,95.0,95.0
1073,RANDON FOREST,vgg19,100.0,95.64,100.0,95.03,95.52,94.52,95.0,95.0
1074,RANDON FOREST,vgg19,99.5,93.64,100.0,94.03,94.52,95.52,95.0,95.0
1075,RANDON FOREST,vgg19,99.9,94.44,100.0,94.43,94.92,95.11999999999999,95.0,95.0
1076,RANDON FOREST,vgg19,100.0,94.84,100.0,94.63,95.11999999999999,94.92,95.0,95.0
1077,RANDON FOREST,vgg19,100.0,94.64,100.0,94.53,95.02,95.02,95.0,95.0
1078,RANDON FOREST,vgg19,100.0,95.04,100.0,94.73,95.22,94.82,95.0,95.0
1079,RANDON FOREST,vgg19,99.8,94.24,100.0,94.33,94.82,95.22,95.0,95.0
1080,RANDON FOREST,vgg19,99.0,92.64,100.0,93.53,94.02,96.02,95.0,95.0
1081,RANDON FOREST,vgg19,100.0,96.64,100.0,95.53,96.02,94.02,95.0,95.0
1082,RANDON FOREST,vgg19,100.0,94.64,100.0,94.53,95.02,95.02,95.0,95.0
1083,RANDON FOREST,vgg19,100.0,95.64,100.0,95.03,95.52,94.52,95.0,95.0
1084,RANDON FOREST,vgg19,99.5,93.64,100.0,94.03,94.52,95.52,95.0,95.0
1085,RANDON FOREST,vgg19,99.9,94.44,100.0,94.43,94.92,95.11999999999999,95.0,95.0
1086,RANDON FOREST,vgg19,100.0,94.84,100.0,94.63,95.11999999999999,94.92,95.0,95.0
1087,RANDON FOREST,vgg19,100.0,94.64,100.0,94.53,95.02,95.02,95.0,95.0
1088,RANDON FOREST,vgg19,100.0,95.04,100.0,94.73,95.22,94.82,95.0,95.0
1089,RANDON FOREST,vgg19,99.8,94.24,100.0,94.33,94.82,95.22,95.0,95.0
1090,RANDON FOREST,vgg19,99.0,92.64,100.0,93.53,94.02,96.02,95.0,95.0
1091,RANDON FOREST,vgg19,100.0,96.64,100.0,95.53,96.02,94.02,95.0,95.0
1092,RANDON FOREST,vgg19,100.0,94.64,100.0,94.53,95.02,95.02,95.0,95.0
1093,RANDON FOREST,vgg19,100.0,95.64,100.0,95.03,95.52,94.52,95.0,95.0
1094,RANDON FOREST,vgg19,99.5,93.64,100.0,94.03,94.52,95.52,95.0,95.0
1095,RANDON FOREST,vgg19,99.9,94.44,100.0,94.43,94.92,95.11999999999999,95.0,95.0
1096,RANDON FOREST,vgg19,100.0,94.84,100.0,94.63,95.11999999999999,94.92,95.0,95.0
1097,RANDON FOREST,vgg19,100.0,94.64,100.0,94.53,95.02,95.02,95.0,95.0
1098,RANDON FOREST,vgg19,100.0,95.04,100.0,94.73,95.22,94.82,95.0,95.0
1099,RANDON FOREST,vgg19,99.8,94.24,100.0,94.33,94.82,95.22,95.0,95.0
1100,BOOSTING,vgg19,99.47,96.64,98.47,93.53,96.02,94.02,96.0,96.0
1101,BOOSTING,vgg19,97.47,92.64,98.47,95.53,94.02,96.02,94.0,94.0
1102,BOOSTING,vgg19,98.47,94.64,98.47,94.53,95.02,95.02,95.0,95.0
1103,BOOSTING,vgg19,97.97,93.64,98.47,95.03,94.52,95.52,94.5,94.5
1104,BOOSTING,vgg19,98.97,95.64,98.47,94.03,95.52,94.52,95.5,95.5
1105,BOOSTING,vgg19,98.57,94.84,98.47,94.43,95.11999999999999,94.92,95.1,95.1
1106,BOOSTING,vgg19,98.37,94.44,98.47,94.63,94.92,95.11999999999999,94.9,94.9
1107,BOOSTING,vgg19,98.47,94.64,98.47,94.53,95.02,95.02,95.0,95.0
1108,BOOSTING,vgg19,98.27,94.24,98.47,94.73,94.82,95.22,94.8,94.8
1109,BOOSTING,vgg19,98.67,95.04,98.47,94.33,95.22,94.82,95.2,95.2
1110,BOOSTING,vgg19,99.47,96.64,98.47,93.53,96.02,94.02,96.0,96.0
1111,BOOSTING,vgg19,97.47,92.64,98.47,95.53,94.02,96.02,94.0,94.0
1112,BOOSTING,vgg19,98.47,94.64,98.47,94.53,95.02,95.02,95.0,95.0
1113,BOOSTING,vgg19,97.97,93.64,98.47,95.03,94.52,95.52,94.5,94.5
1114,BOOSTING,vgg19,98.97,95.64,98.47,94.03,95.52,94.52,95.5,95.5
1115,BOOSTING,vgg19,98.57,94.84,98.47,94.43,95.11999999999999,94.92,95.1,95.1
1116,BOOSTING,vgg19,98.37,94.44,98.47,94.63,94.92,95.11999999999999,94.9,94.9
1117,BOOSTING,vgg19,98.47,94.64,98.47,94.53,95.02,95.02,95.0,95.0
1118,BOOSTING,vgg19,98.27,94.24,98.47,94.73,94.82,95.22,94.8,94.8
1119,BOOSTING,vgg19,98.67,95.04,98.47,94.33,95.22,94.82,95.2,95.2
1120,BOOSTING,vgg19,99.47,96.64,98.47,93.53,96.02,94.02,96.0,96.0
1121,BOOSTING,vgg19,97.47,92.64,98.47,95.53,94.02,96.02,94.0,94.0
1122,BOOSTING,vgg19,98.47,94.64,98.47,94.53,95.02,95.02,95.0,95.0
1123,BOOSTING,vgg19,97.97,93.64,98.47,95.03,94.52,95.52,94.5,94.5
1124,BOOSTING,vgg19,98.97,95.64,98.47,94.03,95.52,94.52,95.5,95.5
1125,BOOSTING,vgg19,98.57,94.84,98.47,94.43,95.11999999999999,94.92,95.1,95.1
1126,BOOSTING,vgg19,98.37,94.44,98.47,94.63,94.92,95.11999999999999,94.9,94.9
1127,BOOSTING,vgg19,98.47,94.64,98.47,94.53,95.02,95.02,95.0,95.0
1128,BOOSTING,vgg19,98.27,94.24,98.47,94.73,94.82,95.22,94.8,94.8
1129,BOOSTING,vgg19,98.67,95.04,98.47,94.33,95.22,94.82,95.2,95.2
1130,BOOSTING,vgg19,99.47,96.64,98.47,93.53,96.02,94.02,96.0,96.0
1131,BOOSTING,vgg19,97.47,92.64,98.47,95.53,94.02,96.02,94.0,94.0
1132,BOOSTING,vgg19,98.47,94.64,98.47,94.53,95.02,95.02,95.0,95.0
1133,BOOSTING,vgg19,97.97,93.64,98.47,95.03,94.52,95.52,94.5,94.5
1134,BOOSTING,vgg19,98.97,95.64,98.47,94.03,95.52,94.52,95.5,95.5
1135,BOOSTING,vgg19,98.57,94.84,98.47,94.43,95.11999999999999,94.92,95.1,95.1
1136,BOOSTING,vgg19,98.37,94.44,98.47,94.63,94.92,95.11999999999999,94.9,94.9
1137,BOOSTING,vgg19,98.47,94.64,98.47,94.53,95.02,95.02,95.0,95.0
1138,BOOSTING,vgg19,98.27,94.24,98.47,94.73,94.82,95.22,94.8,94.8
1139,BOOSTING,vgg19,98.67,95.04,98.47,94.33,95.22,94.82,95.2,95.2
1140,BOOSTING,vgg19,99.47,96.64,98.47,93.53,96.02,94.02,96.0,96.0
1141,BOOSTING,vgg19,97.47,92.64,98.47,95.53,94.02,96.02,94.0,94.0
1142,BOOSTING,vgg19,98.47,94.64,98.47,94.53,95.02,95.02,95.0,95.0
1143,BOOSTING,vgg19,97.97,93.64,98.47,95.03,94.52,95.52,94.5,94.5
1144,BOOSTING,vgg19,98.97,95.64,98.47,94.03,95.52,94.52,95.5,95.5
1145,BOOSTING,vgg19,98.57,94.84,98.47,94.43,95.11999999999999,94.92,95.1,95.1
1146,BOOSTING,vgg19,98.37,94.44,98.47,94.63,94.92,95.11999999999999,94.9,94.9
1147,BOOSTING,vgg19,98.47,94.64,98.47,94.53,95.02,95.02,95.0,95.0
1148,BOOSTING,vgg19,98.27,94.24,98.47,94.73,94.82,95.22,94.8,94.8
1149,BOOSTING,vgg19,98.67,95.04,98.47,94.33,95.22,94.82,95.2,95.2
1150,BOOSTING,vgg19,99.47,96.64,98.47,93.53,96.02,94.02,96.0,96.0
1151,BOOSTING,vgg19,97.47,92.64,98.47,95.53,94.02,96.02,94.0,94.0
1152,BOOSTING,vgg19,98.47,94.64,98.47,94.53,95.02,95.02,95.0,95.0
1153,BOOSTING,vgg19,97.97,93.64,98.47,95.03,94.52,95.52,94.5,94.5
1154,BOOSTING,vgg19,98.97,95.64,98.47,94.03,95.52,94.52,95.5,95.5
1155,BOOSTING,vgg19,98.57,94.84,98.47,94.43,95.11999999999999,94.92,95.1,95.1
1156,BOOSTING,vgg19,98.37,94.44,98.47,94.63,94.92,95.11999999999999,94.9,94.9
1157,BOOSTING,vgg19,98.47,94.64,98.47,94.53,95.02,95.02,95.0,95.0
1158,BOOSTING,vgg19,98.27,94.24,98.47,94.73,94.82,95.22,94.8,94.8
1159,BOOSTING,vgg19,98.67,95.04,98.47,94.33,95.22,94.82,95.2,95.2
1160,BOOSTING,vgg19,99.47,96.64,98.47,93.53,96.02,94.02,96.0,96.0
1161,BOOSTING,vgg19,97.47,92.64,98.47,95.53,94.02,96.02,94.0,94.0
1162,BOOSTING,vgg19,98.47,94.64,98.47,94.53,95.02,95.02,95.0,95.0
1163,BOOSTING,vgg19,97.97,93.64,98.47,95.03,94.52,95.52,94.5,94.5
1164,BOOSTING,vgg19,98.97,95.64,98.47,94.03,95.52,94.52,95.5,95.5
1165,BOOSTING,vgg19,98.57,94.84,98.47,94.43,95.11999999999999,94.92,95.1,95.1
1166,BOOSTING,vgg19,98.37,94.44,98.47,94.63,94.92,95.11999999999999,94.9,94.9
1167,BOOSTING,vgg19,98.47,94.64,98.47,94.53,95.02,95.02,95.0,95.0
1168,BOOSTING,vgg19,98.27,94.24,98.47,94.73,94.82,95.22,94.8,94.8
1169,BOOSTING,vgg19,98.67,95.04,98.47,94.33,95.22,94.82,95.2,95.2
1170,BOOSTING,vgg19,99.47,96.64,98.47,93.53,96.02,94.02,96.0,96.0
1171,BOOSTING,vgg19,97.47,92.64,98.47,95.53,94.02,96.02,94.0,94.0
1172,BOOSTING,vgg19,98.47,94.64,98.47,94.53,95.02,95.02,95.0,95.0
1173,BOOSTING,vgg19,97.97,93.64,98.47,95.03,94.52,95.52,94.5,94.5
1174,BOOSTING,vgg19,98.97,95.64,98.47,94.03,95.52,94.52,95.5,95.5
1175,BOOSTING,vgg19,98.57,94.84,98.47,94.43,95.11999999999999,94.92,95.1,95.1
1176,BOOSTING,vgg19,98.37,94.44,98.47,94.63,94.92,95.11999999999999,94.9,94.9
1177,BOOSTING,vgg19,98.47,94.64,98.47,94.53,95.02,95.02,95.0,95.0
1178,BOOSTING,vgg19,98.27,94.24,98.47,94.73,94.82,95.22,94.8,94.8
1179,BOOSTING,vgg19,98.67,95.04,98.47,94.33,95.22,94.82,95.2,95.2
1180,BOOSTING,vgg19,99.47,96.64,98.47,93.53,96.02,94.02,96.0,96.0
1181,BOOSTING,vgg19,97.47,92.64,98.47,95.53,94.02,96.02,94.0,94.0
1182,BOOSTING,vgg19,98.47,94.64,98.47,94.53,95.02,95.02,95.0,95.0
1183,BOOSTING,vgg19,97.97,93.64,98.47,95.03,94.52,95.52,94.5,94.5
1184,BOOSTING,vgg19,98.97,95.64,98.47,94.03,95.52,94.52,95.5,95.5
1185,BOOSTING,vgg19,98.57,94.84,98.47,94.43,95.11999999999999,94.92,95.1,95.1
1186,BOOSTING,vgg19,98.37,94.44,98.47,94.63,94.92,95.11999999999999,94.9,94.9
1187,BOOSTING,vgg19,98.47,94.64,98.47,94.53,95.02,95.02,95.0,95.0
1188,BOOSTING,vgg19,98.27,94.24,98.47,94.73,94.82,95.22,94.8,94.8
1189,BOOSTING,vgg19,98.67,95.04,98.47,94.33,95.22,94.82,95.2,95.2
1190,BOOSTING,vgg19,99.47,96.64,98.47,93.53,96.02,94.02,96.0,96.0
1191,BOOSTING,vgg19,97.47,92.64,98.47,95.53,94.02,96.02,94.0,94.0
1192,BOOSTING,vgg19,98.47,94.64,98.47,94.53,95.02,95.02,95.0,95.0
1193,BOOSTING,vgg19,97.97,93.64,98.47,95.03,94.52,95.52,94.5,94.5
1194,BOOSTING,vgg19,98.97,95.64,98.47,94.03,95.52,94.52,95.5,95.5
1195,BOOSTING,vgg19,98.57,94.84,98.47,94.43,95.11999999999999,94.92,95.1,95.1
1196,BOOSTING,vgg19,98.37,94.44,98.47,94.63,94.92,95.11999999999999,94.9,94.9
1197,BOOSTING,vgg19,98.47,94.64,98.47,94.53,95.02,95.02,95.0,95.0
1198,BOOSTING,vgg19,98.27,94.24,98.47,94.73,94.82,95.22,94.8,94.8
